word transcription translate
rush стремление
bundle пучок
convention соглашение
maintainability ремонтность
clarity ясность
consistency последовательность-действий
foundation основы
habits привычки
insist настаивать
indentation отступ
further дальше
expand расширять
determine определять
leading ведущий
anchor привязка-якорь
narrow узкий-ограниченный
statement оператор-утверждение
provides обеспечивает
appearance внешний_вид
are_meant предназначены
dispatch отправка-отсылка
happens случается
powder порошок
preferred преимущественно
efficient эффективных
comparisons сравнение
intrinsic свойственный-внутренний
note_that обратите_внимание
explain объяснять
stand(for) стоит(означает)
purpose назначение
comparable сравнимый
сupon после
amount количество
property свойство
reason рассуждать
the_reason причина
purpose цель
purpose назначение
treated_as рассматриваемый_как
to_define определить
invoke вызывать
explain объяснять
comparable сравнимый
upon после
amount количество
property свойство
reason рассуждать
the_reason причина
ignis огонь
ignitor воспламенитель
necesserily обязательно
attract привлекать
flatten выравнивать-сплющить
intersection пересечение
essential существенный
passion страсть
maintaining поддержание
together вмесете
a_derived производный
arbitrary произвольный-случайный
amounts объем-сумма
partake вкушает-принимеает_участие
cause причина-вызывать
occur происходить-случаться-бывать
mental умственный-мысленный
attitude отношение-позиция
decide решать
settling оседание-осадок-отсаивание
decisive решающий
voided аннулировать
passed прошедший
pass передача-проходить-передавать
violation нарушение
curing отвержендение
blind штора-жалюзи
shade тень-экран-оттенок
kinds тип-вид-разновидность
members члены-элементы
explicit явный
implicit скрытый
shorthands сокращение
except заисключением-кроме
expect ожидать
closer ближе
term срок,термин,член
distinct особый,отличный
meaning смысл,значение
means средство,способ
mean значит
signify значит
convey передавать
indicate указывать
particular особый,частный
notion понятие,идея,мнение
scopes сфера,рамки
scopes область_видимости
appreciated оценивать
immutable неизменный
benefit выгода,польза
is_cheap дешево
cheap просто
implementation реализация
eliminates устраняет
incidentally кстати,между_прочим
relation связь
both оба
confusion путаница
fees сборы,коммисия
uncomplicated незамысловатый
complicated сложный
attempts попытка
straightforward простой
inSomeRespect вНекоторыхОтношениях
inTheLetterCase вПоследСлучае
by_the_way кстати
inAsense вНекоторомСмысле
nThisCase вЭтомСлучае
behavior поведение
desides кроме,помимо
pre-existing ранее_сущ
enclosing заключать,окружать
unambiguously однозначно
collide сталкиваться,ошибаться
hence сЭтихПор,следовательно
consequence следствие,последствие
stiff жест,тугой,сильн,крепк
quite вполне,совсем,очень
successive последовательный
current ток
alternating переменный
belong принадлежать,относиться
splendid великолепный,первосходный
occupying занимающий
sentence предложение
immediately немедленно
instant мгновенно
yet_another еще_одно
is_evolving развивается
towards к,по_отношению,в_напр
rely полагаться,наденадеяться
quirk причуда
expired истекший
distributed распределенный
common общий,распространенный
retain удерживать,хранить
revert возвращаться,повернутьНазад
pressure дваление
tension натяжение,напряжение
is_uniform единообразно
bar стерженьв
bar полоса,пруток
distribution распространение
enough достаточно
probability вероятность
probably вероятно
conditional условный
conjunction соединение,союз
is_at_least поКрайнейМере,хотябы
nucleus ядро
conversational разговорный
influence влияние
equipment снаряга,оборудование
tangencies касание
entitie объкт,организ
consistent последовательный,согласующ
distinct отчетливый
layout макет,планировка
even даже,как_раз
obviously очевидно
related связанный
ensures обеспечивать
assure гарантировать
revolution полн.оборот,вращ,переворот
frame рамка,кадр,каркас
intent намерение
acquire получать,приобретать
tangle сплетение,беспоряд,путаница
aware знающий,осведомленный
consident совпадающий,соответствующ
apparent очевдный,видимый
accesible явный,доступный
suppliers поставщики
frequent частый
due должное,точно,обусловлен
mating сопряжение
disappear исчезать,пропадать
perhaps возможно
entire весь,полный
swallowed поглотил
orphaned осиротел
depth глубина
advantage преимущество
therefore следовательно
imagine предположение
disaster бедствие,несчастие
