word transcription translate
rush стремление
bundle пучок
convention соглашение
maintainability ремонтность
clarity ясность
consistency последовательность-действий
foundation основы
habits привычки
insist настаивать
indentation отступ
further дальше
expand расширять
determine определять
leading ведущий
anchor привязка-якорь
narrow узкий-ограниченный
statement оператор-утверждение
provides обеспечивает
appearance внешний_вид
are_meant предназначены
dispatch отправка-отсылка
happens случается
powder порошок
preferred преимущественно
efficient эффективных
comparisons сравнение
intrinsic свойственный-внутренний
note-that обратите-внимание
explain объясн�я�ть
ыstand(for) стоит(означает)
зpurpose назначение
comparable сравнимый
сupon по�сл�е
amount количемство
property свойство
reason рассуждать
е�the_reason причина
зpurpose цель
treated_as рассматриваемый_как
to_define определить
invoke вызывать
�explain объяснять
