tangencies касание
entitie объкт,организ
consistent последовательный,согласующ
distinct отчетливый
layout макет,планировка
even даже,как_раз
obviously очевидно
related связанный
ensures обеспечивать
assure гарантировать
revolution полн.оборот,вращ,переворот
frame рамка,кадр,каркас
intent намерение
acquire получать,приобретать
tangle сплетение,беспоряд,путаница
aware знающий,осведомленный
consident совпадающий,соответствующ
apparent очевдный,видимый
accesible явный,доступный
suppliers поставщики
frequent частый
due должное,точно,обусловлен
mating сопряжение
disappear исчезать,пропадать
perhaps возможно
entire весь,полный
swallowed поглотил
orphaned осиротел
depth глубина
advantage преимущество
therefore следовательно
imagine предвоположение
disaster бедствие,несчастие
